Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"31,639","94,539","196,119","318,880","350,431",-,-,"20,002","20,002","86,22","3,65","667.307.972,70","794.002.954,26","18,99","59.883.832,00","68.639.078,00","14,62","3,81"
GO1,FONERİA PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"38,579","110,539","218,920","315,150","350,174",-,-,"1,4","1,4","25,78","2,56","23.229.350,94","25.045.401,14","7,82","15.778.620,00","15.993.421,00","1,36","6,37"
NJG,NUROL PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,"33,368","93,323","187,220","312,992","349,215",-,-,"150,015","150,015","32,3","3,65","12.673.006,19","11.862.853,88","-6,39","5.753.159,00","5.344.147,00","-7,11","0,77"
GA1,GARANTİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"32,725","95,440","210,774","319,628","348,715","993,703","1,669,611","0,7","0,7","73,42",0,"6.129.272,30","5.189.207,58","-15,34","3.766.452,00","3.105.398,00","-17,55","2,69"
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"33,193","96,525","197,246","317,032","348,317",-,-,"2,5","2,5","25,48","4,38","24.314.410.762,30","24.927.132.759,31","2,52","847.510.975,00","846.224.855,00","-0,15","2,68"
GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,Serbest Şemsiye Fonu,"31,355","92,783","189,582","316,832","346,304","910,134",-,"0,1","0,1","28,12","4,38","4.036.243.700,16","4.305.067.215,65","6,66","1.131.276.866,00","1.190.436.353,00","5,23","1,36"
DCB,DENİZ PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"32,778","96,256","193,685","315,901","345,411",-,-,"1,25","1,25","32,64",0,"816.436.826,38","1.044.697.709,23","27,96","227.969.609,00","252.886.323,00","10,93","15,35"
NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"31,439","92,653","183,625","308,492","345,325",-,-,"0,8",0,0,,"53.880.856,55","56.209.615,01","4,32","233.458.222,00","233.942.875,00","0,21","4,11"
GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"32,320","94,594","188,454","312,186","344,726","930,846","1,625,016","1,4","1,4","65,66","3,65","6.848.033,07","6.835.117,36","-0,19","3.512.001,00","3.412.359,00","-2,84","2,73"
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"31,211","90,425","186,071","308,538","340,108",-,-,"2,75","2,75",0,,"55.022.834,83","56.226.215,11","2,19","1.106.633.665,00","1.097.382.872,00","-0,84","3,05"
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"30,137","82,149","192,213","308,066","339,819","920,067","1,727,402","2,6","2,6","91,76","3,65","19.720.146,93","22.426.036,14","13,72","714.652,00","758.471,00","6,13","7,15"
RPP,ROTA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"32,769","96,275","188,901","308,384","338,863",-,-,"1,75","1,75","84,12","3,65","136.870.350,76","139.026.769,74","1,58","82.810.189,00","79.027.776,00","-4,57","6,44"
OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"33,997","100,241","193,957","304,439","338,399","1,039,914","1,956,843","1,4","1,4","65,09","3,65","7.350.119,57","7.433.126,31","1,13","4.826.973,00","4.773.147,00","-1,12","2,27"
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"31,817","93,386","185,435","305,782","337,574",-,-,"0,74","0,74","33,84","3,65","2.894.524.122,31","4.569.628.649,69","57,87","97.023.548,00","144.035.845,00","48,45","6,34"
UJA,ÜNLÜ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,"27,206","78,147","175,877","306,542","337,235",-,-,"0,64","0,64","26,7","2,56","320.684.084,35","329.384.118,10","2,71","163.114.906,00","162.712.521,00","-0,25","2,97"
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"31,465","91,548","184,966","305,631","335,382","904,631",-,1,1,"48,34","4,38","14.882.401.750,79","24.455.959.145,06","64,33","518.657.886,00","829.913.416,00","60,01","2,70"
ZPG,ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,"29,076","75,358","204,092","304,785","334,819","987,767","1,615,232","20,075","20,075","28,03","3,5","52.513.822,70","48.788.218,83","-7,09","10.030.957,00","8.922.927,00","-11,05","4,44"
NZT,NEO PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,"33,285","98,556","199,576","312,683","332,526",-,-,"0,8","0,8","76,02",0,"48.378.708,01","104.756.460,55","116,53","50.795.230,00","102.059.183,00","100,92","7,77"
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"33,358","74,339","265,712","308,724","330,951","929,468","1,758,163","2,5","2,5","39,37","4,38","473.022.654,98","472.710.252,97","-0,07","33.554.789,57","33.017.915,57","-1,60","1,56"
IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"32,432","95,422","182,359","300,672","330,416","906,242","1,596,057","0,75","0,75","60,4",,"234.472.337,22","232.132.492,30","-1,00","17.941.401,00","17.695.061,00","-1,37","0,38"
NZH,NEO PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"30,553","94,646","188,866","298,994","329,976",-,-,1,1,"66,42",,"14.440.560,03","14.678.986,43","1,65","4.241.238,00","4.186.953,00","-1,28","2,97"
IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"33,335","94,093","196,418","302,351","328,257",-,-,"2,088","2,088","37,13","3,65","113.022.660,33","148.433.479,92","31,33","27.129.960,00","34.578.593,00","27,46","3,04"
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,Serbest Şemsiye Fonu,"32,844","92,542","192,752","298,933","326,374","873,467",-,1,1,"64,56",,"439.503.420,91","284.606.135,67","-35,24","8.941.654.052,00","5.644.738.549,00","-36,87","2,58"
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"32,456","87,164","169,089","294,532","326,132","852,534","1,469,138","2,6","2,6",0,,"431.479.428,12","421.866.201,11","-2,23","219.314.055,00","207.714.976,00","-5,29","3,23"
ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"30,752","88,223","178,201","293,840","324,679",-,-,"2,5",0,0,"4,38","2.060.058,36","2.200.762,03","6,83","617.307,00","621.346,00","0,65","6,14"
OKT,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"33,358","91,124","170,382","290,735","322,962","899,566","1,634,699","1,5","1,5","31,64","1,65","182.480.542,41","191.644.690,32","5,02","5.780.793,00","5.870.742,00","1,56","3,41"
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"31,225","88,610","175,604","291,591","321,198","872,008","1,525,695",1,1,0,"3,65","141.908.628,08","134.571.215,79","-5,17","100.245.940,00","94.572.477,00","-5,66","0,52"
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"30,677","88,915","175,607","290,380","320,715","868,996",-,"2,9","2,9","85,24","3,65","0,00","7.294.120,37","0,00","0,00","7.152.947,00","0,00","0,00"
GTF,AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"24,021","64,473","172,832","284,836","320,027","993,229","1,795,285",0,"1,5",0,,"34.766.835.915,15","38.436.610.621,80","10,56","1.160.693.904,00","1.249.421.290,00","7,64","2,70"
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"33,583","89,574","177,822","289,372","318,502",-,-,"0,2625","0,2625","19,66",,"171.725.846,92","180.261.932,00","4,97","5.819.913,00","5.900.898,00","1,39","3,53"
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"24,328","80,556","162,104","269,395","316,718","1,003,602","1,738,402","0,7","0,7","33,76","1,65","128.804.949,57","135.735.742,92","5,38","58.329.287,00","59.402.711,00","1,84","3,48"
PJL,PHİLLİP PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,"30,110","88,557","179,080","289,675","316,434",-,-,"2,5","2,5","17,43",0,"472.290.530,21","494.287.637,58","4,66","15.594.952,00","15.803.150,00","1,34","3,28"
FSK,QNB FİNANS PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,"31,673","90,538","176,496","289,024","316,395","811,319",-,"1,05",0,"35,55","1,65","12.853.286,09","22.104.402,69","71,97","12.651.215,00","20.805.790,00","64,46","4,57"
YBS,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"29,487","87,035","183,108","279,649","313,270","866,087","1,503,110","0,75",0,0,"1,65","10.793.975,67","12.538.134,46","16,16","8.813.800,00","9.561.370,00","8,48","7,08"
GLC,GLOBAL MD PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"38,565","76,007","384,428","220,456","312,804",-,-,1,"0,5","29,39",,"210.582.089,83","219.462.781,24","4,22","133.998.957,00","135.918.778,00","1,43","2,75"
KSV,KT PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,"30,360","85,454","175,862","286,045","312,491","812,891",-,"1,46","1,46","30,2","2,56","107.424.523,19","83.305.805,97","-22,45","81.180.494,00","61.297.215,00","-24,49","2,70"
ADE,AK PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,"37,873","88,898","166,047","280,890","310,212","789,084","1,337,530",1,1,"67,03","2,19","30.161.995,63","27.984.973,14","-7,22","6.339.072,00","5.651.782,00","-10,84","4,07"
KTR,KT PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,"30,859","86,781","171,944","280,827","309,990","873,087","1,517,959","1,95","1,95","74,4","3,65","29.461.185,07","50.441.443,86","71,21","1.042.992,00","1.683.366,00","61,40","6,08"
UPP,ÜNLÜ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"30,274","86,925","173,924","282,847","309,568","856,685",-,"1,5","1,5","51,55","3,65","10.019.456,25","27.644.041,01","175,90","6.136.071,00","16.379.205,00","166,93","3,36"
IFV,ICBC TURKEY PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"29,657","85,222","166,093","275,967","306,560",-,-,"1,5","1,5",0,0,"360.581.754,20","331.934.444,81","-7,94","216.434.746,00","193.668.355,00","-10,52","2,88"
IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,Serbest Şemsiye Fonu,"-46,596","0,8521","414,210","236,596","304,370","1,429,189",-,1,1,"24,49","3,65","659.365,62","41.766.156,51","6.234,29","500.000,00","31.400.411,00","6.180,08","0,86"
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,Karma Şemsiye Fonu,"77,066","-10,490","235,374","287,884","303,415",-,-,"1,5","1,5","28,02","2,56","7.367.509.042,85","7.426.924.744,10","0,81","3.778.647.585,00","3.702.505.933,00","-2,02","2,88"
FBZ,FİBA PORTFÖY KAR PAYI ÖDEYEN SERBEST FON,Serbest Şemsiye Fonu,"86,380","61,071","232,813","276,068","302,554",-,-,2,0,"134,25","3,65","1.216.587.496,19","1.636.263.025,74","34,50","1.169.268.310,00","1.529.342.579,00","30,79","2,83"
PVK,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,"28,996","87,667","173,366","279,865","301,959","808,444",-,"1,25","1,25",0,"3,65","15.456.329,76","16.254.673,29","5,17","7.043.790,00","7.206.570,00","2,31","2,79"
IZF,QİNVEST PORTFÖY İKİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,"27,095","28,052","327,940","246,426","300,407",-,-,"0,95","0,95",0,,"1.927.769.067,21","2.437.939.148,03","26,46","1.040.265.300,00","1.282.064.371,00","23,24","2,61"
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"27,226","-47,150","482,696","250,768","300,016",-,-,2,0,"58,4","3,65","251.397.003,57","287.796.071,04","14,48","41.917.977,00","47.475.593,00","13,26","1,08"
DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"30,542","86,697","169,336","272,452","299,915","809,995","1,410,252","1,19","1,19","98,97","3,65","391.699.689,55","415.896.345,54","6,18","27.970.102,00","27.960.491,00","-0,03","6,21"
DBZ,DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"31,005","89,167","167,695","274,673","297,858","806,597","1,375,310","1,2",0,"71,55","2,19","27.455.019,66","49.251.867,48","79,39","7.044.482,00","12.239.485,00","73,75","3,25"
ICE,ICBC TURKEY PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"29,844","85,097","166,855","270,630","296,680","801,321","1,400,661",2,0,"42,67","3,65","15.463.904,29","43.328.357,51","180,19","12.459.642,00","34.270.055,00","175,05","1,87"
FYO,QNB FİNANS PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"27,854","81,123","158,703","265,619","294,577","782,512","1,408,823","0,45",0,"33,89","1,65","10.980.552,84","10.107.487,89","-7,95","5.060.095,00","4.558.212,00","-9,92","2,18"
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"30,743","79,461","159,993","267,106","293,920","740,403",-,"0,9",0,"67,8",,"1.312.231.847,61","1.284.950.965,06","-2,08","567.648.514,00","542.048.124,00","-4,51","2,55"
ODD,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,"22,776","53,618","206,964","252,730","291,692","3,440,718",-,1,0,"38,29",,"291.470.833,46","216.207.398,02","-25,82","92.602.274,00","66.507.952,00","-28,18","3,28"
TI6,İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"11,212","43,898","170,211","240,362","289,326","932,191","1,545,858","0,5",0,"64,79",,"385.322.497,84","446.061.244,36","15,76","220.691.064,00","248.593.243,00","12,64","2,77"
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"27,835","78,922","160,929","260,625","288,647","808,476","1,415,882",2,2,"86,15","3,65","9.403.492,51","23.562.754,97","150,57","9.682.982,00","24.125.726,00","149,16","0,57"
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"32,622","83,789","197,506","248,784","288,178","1,035,389","1,744,184",2,2,0,0,"17.750.684,56","20.357.006,53","14,68","9.791.080,00","10.204.413,00","4,22","10,04"
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,"29,772","85,110","160,971","264,645","285,406","765,442","1,353,543",2,2,"96,08",0,"433.659.036,18","403.297.143,60","-7,00","93.230.086,00","83.626.614,00","-10,30","3,68"
YCY,İSTANBUL PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"27,543","73,053","165,536","257,676","283,406",-,-,"2,75",0,0,"3,65","36.154.992,94","42.641.526,94","17,94","20.400.361,00","23.477.564,00","15,08","2,48"
OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"25,405","73,676","156,062","226,958","281,233",-,-,"2,993","2,993","86,34","3,65","32.780.963,25","33.000.814,57","0,67","19.089.536,00","18.635.435,00","-2,38","3,12"
KTN,KT PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"23,277","80,465","150,476","246,242","280,734","855,954","1,434,372",2,2,"53,91","3,65","2.776.609.390,17","3.102.197.696,15","11,73","1.903.538.682,00","2.065.554.681,00","8,51","2,96"
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,"39,681","102,808","299,877","217,411","280,342","1,211,501","2,022,689","2,25","2,25","117,4","3,65","300.594.527,58","313.809.261,64","4,40","9.666.707,00","9.720.311,00","0,55","3,82"
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"28,011","77,013","154,131","248,289","280,244","782,083","1,302,102","2,25","2,25","66,18","3,65","199.988.912,56","252.970.755,51","26,49","132.344.098,00","162.486.433,00","22,78","3,03"
AIS,AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"31,075","77,086","149,054","248,094","280,078","797,167","1,330,240",2,2,"92,16","3,65","43.244.136,34","44.446.337,08","2,78","1.329.378,00","1.317.607,00","-0,89","3,70"
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,"0,6411","25,526","382,876","299,613","278,964",-,-,"2,9","2,9",30,"3,65","202.254.082,32","261.667.021,96","29,38","117.157.833,00","131.221.682,00","12,00","15,51"
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"28,894","80,260","155,906","251,560","277,887","791,707",-,"1,9","1,9","83,42","2,19","231.480.106,19","235.572.932,48","1,77","77.455.951,00","76.488.472,00","-1,25","3,06"
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"24,614","63,856","147,266","249,781","277,841","810,707","1,367,105","2,75",0,"38,95","3,65","23.668.730,11","57.902.061,08","144,64","6.664.656,00","15.521.923,00","132,90","5,04"
DBK,DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"26,304","68,241","144,926","250,402","277,336","752,805","1,278,451","2,19","2,19","13,11","3,65","94.339.569,27","68.515.009,94","-27,37","60.573.192,00","42.754.638,00","-29,42","2,89"
TMV,TERA PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,Serbest Şemsiye Fonu,"33,828","20,093","116,424","247,999","273,968",-,-,"1,75","1,75","28,86","3,65","1.050.811.849,99","1.044.950.081,67","-0,56","7.635.689,15","7.396.152,15","-3,14","2,66"
