Fund_Code,Fund_Name,Rainbow_Fund_Type,monthly_return,monthly_3_return,monthly_6_return,since_jan,annual_1_return,annual_3_return,annual_5_return,applied_management_fee,bylaw_management_fee,annual_realized_return_rate,max_total_expense_ratio,init_fund_size,current_fund_size,portfolio_size_change,init_out_shares,current_out_shares,change_in_nshares,realized_return_rate
KVS,AZİMUT PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,"31,580","91,816",-,-,-,-,-,"2,81","2,81","100,59","3,65","1.961.806.649,34","2.055.141.307,49","4,76","4.881.695.626,21","5.045.333.973,21","3,35","1,36"
ZMT,AZİMUT PORTFÖY 22.0 SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,"61,119",-,-,-,-,-,-,1,1,"30,96","1,65","5.673.241,96","5.690.042,52","0,30","5.466.692,00","5.053.576,00","-7,56","8,50"
PAF,A1 PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,-,-,-,-,-,-,-,"1,5","1,5","106,7",0,"837.841.029,53","855.430.089,88","2,10","830.164.640,44","810.461.580,44","-2,37","4,58"
BST,A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"102,677","164,196","2,093,615",-,-,-,-,"2,9","2,9","41,81","3,65","694.097.320,40","720.797.317,62","3,85","524.337.365,69","525.470.065,69","0,22","3,62"
BBF,A1 PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,"47,868",-,-,-,-,-,-,"1,5","1,5","27,79","2,555","90.123.853,78","98.180.987,70","8,94","1.341.235.764,84","1.459.089.697,29","8,79","0,14"
BHF,A1 PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,-,-,-,-,-,-,-,3,3,"59,83","4,38","9.300.317,73","5.865.082,52","-36,94","5.095.464,00","3.145.127,00","-38,28","2,17"
BIH,A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"105,189",-,-,-,-,-,-,"2,75","2,75","49,94","3,65","378.634.412,57","351.126.121,60","-7,27","225.952.737,00","206.591.890,00","-8,57","1,43"
AC6,A1 PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"41,993","76,245","622,537",-,-,-,-,3,3,"52,14","4,38","563.560.012,69","200.272.949,72","-64,46","449.592.183,00","155.237.949,00","-65,47","2,92"
AC5,A1 PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,"36,550","117,715","301,467","470,860",-,-,-,"354,999","3,55","93,3","3,65","192.569.109,78","189.361.998,17","-1,67","17.549.047,00","16.739.194,00","-4,61","3,09"
AC1,A1 PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Serbest Şemsiye Fonu,"29,789","80,450",-,-,-,-,-,"32,485","3,25","109,82","3,65","64.842.227,74","69.941.743,56","7,86","4.166.942,00","4.447.394,00","6,73","1,06"
AC4,A1 PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,"33,509","96,478","188,571",-,-,-,-,3,3,"70,67","3,65","85.978.013,74","80.544.989,49","-6,32","40.827.253,00","37.229.516,00","-8,81","2,73"
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"105,558","102,695","532,626",-,-,-,-,"1,825","1,825","31,33","3,65","129.952.726,97","141.408.304,69","8,82","1.313.137.157,00","1.315.927.835,00","0,21","8,58"
BVV,BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,-,-,-,-,-,-,-,3,3,"82,69",,"107.863.695,01","115.204.475,17","6,81","70.308.733,00","70.884.786,00","0,82","5,94"
DTL,DENİZ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"30,864","107,010","1,137,100",-,-,-,-,"1,533",0,"28,34","3,65","331.267.754,52","530.266.653,43","60,07","183.673.399,00","286.539.030,00","56,00","2,61"
DKH,DENİZ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"19,035","33,945",-,-,-,-,-,"344,998","3,45","85,55","3,65","4.069.880.412,78","4.259.734.628,21","4,66","666.835.504,00","659.749.816,00","-1,06","5,79"
DAS,DENİZ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"31,410","70,608","481,727",-,-,-,-,"20,075",2,"68,67","2,19","754.787.185,66","768.436.605,05","1,81","348.255.352,71","339.370.216,71","-2,55","4,47"
